# Logfile created on 2017-12-19 21:06:27 -0500 by logger.rb/56815
E, [2017-12-19T21:06:27.693698 #12120] ERROR -- Pubnub: 
D, [2017-12-19T21:23:15.350617 #1232] DEBUG -- Pubnub::Telementry: Initialized Telemetry
D, [2017-12-19T21:23:15.351680 #1232] DEBUG -- Pubnub::Client: Created new Pubnub::Client instance. Version: 4.0.27
D, [2017-12-19T21:23:15.353651 #1232] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-19T21:23:15.353651 #1232] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-19T21:23:15.354649 #1232] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-19T21:23:15.354649 #1232] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-19T21:23:15.354649 #1232] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-19T21:23:15.355680 #1232] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-19T21:23:15.355680 #1232] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-19T21:23:15.356678 #1232] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=V1uWshNfc9G7PrqM7mztA0AY_lg18QzFXFsdJzalo5k%3D&timestamp=1513736595&ttl=0&uuid=156f0181-9352-4f43-be22-5c4daa904bb2&w=0
D, [2017-12-19T21:23:15.588168 #1232] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:23:15.590167 #1232] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-19T21:23:15.731488 #1232] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-19T21:23:15.731488 #1232] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-19T21:23:15.731488 #1232] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-19T21:23:15.731488 #1232] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-19T21:23:15.731488 #1232] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-19T21:23:15.731488 #1232] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-19T21:23:15.731488 #1232] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-19T21:23:15.731488 #1232] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=VF54bIaRmzmjUHYVlNkJMUFWDNqSGOPKjnDQrOiteEg%3D&timestamp=1513736595&ttl=0&uuid=156f0181-9352-4f43-be22-5c4daa904bb2&w=1
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-19T21:23:15.798370 #1232] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=9eQjtlWZIY4ZgittgXgzTMo7eE7mdZi61W_DunQkgwI%3D&timestamp=1513736595&ttl=0&uuid=156f0181-9352-4f43-be22-5c4daa904bb2&w=1
D, [2017-12-19T21:23:15.882330 #1232] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-19T21:23:15.883329 #1232] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-19T21:26:22.871767 #6680] DEBUG -- Pubnub::Telementry: Initialized Telemetry
D, [2017-12-19T21:26:22.872846 #6680] DEBUG -- Pubnub::Client: Created new Pubnub::Client instance. Version: 4.0.27
D, [2017-12-19T21:26:22.875738 #6680] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-19T21:26:22.875738 #6680] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-19T21:26:22.876766 #6680] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-19T21:26:22.877739 #6680] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-19T21:26:22.877739 #6680] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-19T21:26:22.877739 #6680] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
